,Region,FSL IEEE,SPM IEEE,AFNI IEEE,FSL MCA1,FSL MCA2,FSL MCA3,SPM MCA1,SPM MCA2,SPM MCA3,AFNI MCA1,AFNI MCA2,AFNI MCA3
1,L_V1_ROI,1,0,1,1,1,1,0,0,0,1,1,1
2,R_V1_ROI,1,0,1,1,1,1,0,0,0,1,1,1
3,L_MST_ROI,0,0,0,0,0,0,0,0,0,0,0,0
4,R_MST_ROI,0,0,0,0,0,0,0,0,0,0,0,0
5,L_V6_ROI,0,0,0,0,0,0,0,0,0,0,0,0
6,R_V6_ROI,0,0,0,0,0,0,0,0,0,1,0,0
7,L_V2_ROI,1,0,1,1,1,1,0,0,0,1,1,1
8,R_V2_ROI,1,0,1,1,1,1,0,0,0,1,1,1
9,L_V3_ROI,1,0,1,1,1,1,0,0,0,1,1,1
10,R_V3_ROI,1,0,1,0,1,1,0,0,0,1,1,1
11,L_V4_ROI,1,0,1,1,1,1,0,0,0,1,1,1
12,R_V4_ROI,1,0,1,0,1,1,0,0,0,1,1,1
13,L_V8_ROI,1,0,0,1,1,1,0,0,0,0,0,0
14,R_V8_ROI,1,0,0,0,1,1,0,0,0,0,0,0
15,L_4_ROI,0,1,1,0,0,0,1,1,0,1,1,1
16,R_4_ROI,0,0,1,0,0,0,0,0,0,1,1,1
17,L_3b_ROI,0,1,1,0,0,0,1,1,0,1,1,1
18,R_3b_ROI,0,0,1,0,0,0,0,0,0,1,1,1
19,L_FEF_ROI,0,0,1,0,0,0,0,0,0,1,1,1
20,R_FEF_ROI,0,1,1,0,0,0,1,1,1,1,1,1
21,L_PEF_ROI,0,0,1,0,0,0,0,0,0,1,1,1
22,R_PEF_ROI,0,0,0,0,0,0,0,0,0,0,0,0
23,L_55b_ROI,0,0,1,0,0,0,0,0,0,1,1,1
24,R_55b_ROI,0,1,1,0,0,0,0,0,0,1,0,0
25,L_V3A_ROI,0,0,1,0,0,0,0,0,0,1,1,1
26,R_V3A_ROI,0,0,1,0,0,0,0,0,0,1,1,1
27,L_RSC_ROI,1,0,1,1,1,1,0,0,0,1,1,1
28,R_RSC_ROI,1,0,1,1,1,1,0,0,0,1,1,1
29,L_POS2_ROI,0,1,1,0,0,0,1,1,1,1,1,1
30,R_POS2_ROI,1,1,1,1,1,1,1,1,1,1,1,1
31,L_V7_ROI,0,0,1,0,0,0,0,0,0,1,1,1
32,R_V7_ROI,0,0,1,0,0,0,0,0,0,1,1,1
